frase,10,50,75,100,150,200,300,400,500,600,750,1000,base
Quando foi a batalha de Gettysburg?,1707.3614597321,1604.0041446686,1607.2590351105,1578.3984661102,1609.0984344482,1605.7584285736,1609.95054245,1584.5618247986,1602.9970645905,2646.7084884644,1744.6384429932,1729.376077652,1996.9358444214
Liste todos os musicais com músicas de Elton John.,2094.8302745819,1549.106836319,1547.1038818359,1582.5560092926,1585.7715606689,1580.5194377899,1589.537858963,1562.4179840088,1589.423418045,1698.5723972321,1606.4536571503,1574.4631290436,1586.9579315186
Qual a altura do Farol em Colombo?,13301.3386726379,12305.8588504791,12102.4031639099,11989.1383647919,12198.3284950256,12204.2572498322,13498.80027771,12306.5824508667,12206.3512802124,12872.2794055939,12662.181854248,12325.4716396332,21725.1999378204
Quem foi a esposa do presidente americano Lincoln?,1938.4171962738,2164.2746925354,2061.5315437317,1941.1039352417,1911.7259979248,2060.5602264404,1919.184923172,1942.4233436584,2157.3705673218,2123.3694553375,2153.9809703827,2061.6426467896,1945.7378387451
Quem é o apresentador do BBC Wildlife Specials?,10098.7133979797,9871.5364933014,9765.3894424438,9874.0322589874,9974.5712280273,9538.3117198944,9294.2848205566,9739.2437458038,9454.1168212891,9744.5690631866,10094.7775840759,10457.2179317474,9839.1826152802
Quanto custou Pulp Fiction?,1098.658323288,723.5836982727,722.4900722504,717.9481983185,762.4490261078,726.0804176331,713.5369777679,725.2931594849,721.949338913,725.2154350281,1511.9347572327,726.2799739838,713.4673595428
Em que cidade fica a cervejaria Heineken?,1237.788438797,1213.3982181549,1200.1624107361,1206.6156864166,1208.6832523346,1210.0579738617,1217.5543308258,1213.9596939087,1202.0652294159,1204.619884491,1267.2340869904,1174.6509075165,1238.0180358887
Quando começou a Operação Overlord?,655.4336547852,635.8125209808,624.3712902069,622.5616931915,632.8012943268,640.1102542877,630.9697628021,638.158082962,632.830619812,650.8617401123,636.8381977081,628.9238929749,615.6756877899
Em que cidade termina a Rota 68 do Chile?,1809.8170757294,1845.2684879303,1814.4898414612,1909.1606140137,1933.32695961,1985.1183891296,2083.5108757019,2109.5294952393,2231.1713695526,2214.6129608154,2392.8008079529,2501.847743988,-1.0
Quem desenvolveu o Slack?,816.1234855652,802.7310371399,801.04804039,787.2219085693,781.8827629089,806.5001964569,789.4923686981,811.2440109253,801.2647628784,815.6275749207,803.0347824097,815.7866001129,818.1128501892
Quem foi casada com o presidente Chirac?,734.9367141724,724.1010665894,716.4990901947,706.2497138977,719.1083431244,713.1071090698,726.2797355652,723.1864929199,724.4539260864,731.3194274902,725.1772880554,720.7462787628,708.2834243774
De que morreu Bruce Carver?,666.1932468414,666.6688919067,670.1130867004,664.8423671722,660.2265834808,655.2538871765,671.621799469,661.408662796,666.8055057526,682.3561191559,672.4002361298,663.8512611389,656.0251712799
Quem pintou Tormenta no Mar da Galileia?,697.9820728302,722.2814559937,764.1954421997,792.3591136932,829.2474746704,821.8109607697,825.8390426636,803.858757019,819.7915554047,823.5411643982,815.5348300934,828.2909393311,813.3194446564
Em quais cidades o rio Weser passa?,1121.6378211975,1124.5510578156,1141.1457061768,1214.9131298065,1129.3532848358,1139.084815979,1151.426076889,1176.4309406281,1179.9447536469,1204.4630050659,1236.7889881134,1276.7188549042,-1.0
Quantas cadeiras tem o estádio do Futebol Clube do Porto,935.9631538391,933.552980423,956.6071033478,965.2397632599,980.3454875946,1042.564868927,1158.3178043365,1221.2073802948,1656.3034057617,1342.9079055786,1390.2740478516,1280.2443504333,-1.0
Com quem a filha de Robert Kennedy casou-se?,1947.1673965454,1906.9533348083,1804.2340278625,1908.5986614227,1832.4265480042,1835.5112075806,1845.8566665649,1819.9150562286,1868.4129714966,1812.1848106384,1918.6346530914,2000.7390975952,4841.8107032776
Que livros de Kerouac foram publicados pela Viking Press?,1061.6953372955,1048.9504337311,1029.6175479889,1066.1852359772,1033.8299274445,1105.0288677216,1120.6028461456,1176.6757965088,1246.0627555847,1362.1001243591,1434.8738193512,1373.2173442841,9200.653553009
Qual a altura de Amazon Eve?,1776.7078876495,1716.1662578583,1616.4181232452,1623.687505722,1599.8229980469,1644.4771289825,1623.512506485,1596.0040092468,1611.7351055145,1770.423412323,1643.9127922058,1637.583732605,1676.1145591736
Em que museu está exposto O Grito de Munch?,1644.5155143738,1606.1799526215,1612.7972602844,1664.7477149963,1647.383928299,1678.6248683929,1725.848197937,1649.9927043915,1729.8533916473,1707.4790000916,1738.5215759277,1871.0827827454,4057.4805736542
Quem escreveu o livro Os Pilares da Terra?,866.9006824493,868.5827255249,857.0370674133,846.786737442,855.6337356567,862.7324104309,873.1737136841,857.6700687408,878.64112854,865.5598163605,861.8147373199,1144.3169116974,843.2457447052
James Bond é casado?,755.1965713501,756.7820549011,753.9505958557,754.3950080872,759.8505020142,759.4990730286,765.3486728668,743.8797950745,751.2366771698,767.9636478424,757.8120231628,754.4460296631,749.9392032623
Quem descobriu Ceres?,835.7663154602,850.2929210663,861.8545532227,825.855255127,840.1257991791,837.9797935486,855.4162979126,848.2933044434,851.137638092,862.3013496399,839.8706912994,839.8804664612,848.2367992401
Que rio a Ponte do Brooklyn cruza?,950.6635665894,970.8735942841,981.4624786377,996.3614940643,1025.2809524536,1021.9287872314,1109.281539917,1183.1665039062,1142.1160697937,1272.6752758026,1385.2562904358,1823.0414390564,17465.6369686127
Quem foi chamado de Frank The Tank?,1071.7587471008,912.9118919373,847.8784561157,843.4371948242,849.390745163,859.7073554993,855.7591438293,839.385509491,866.2207126617,870.3129291534,1172.6880073547,856.288433075,871.7625141144
